experiment,stage,epoch,train_loss,train_acc,train_f1,train_recall,val_loss,val_acc,val_f1,val_recall,test_accuracy,test_f1,test_recall,status
smote,train,2,0.8236,0.7042,0.2872,0.2738,0.8961,0.6893,0.3223,0.3284,,,,UNDERFITTING
smote,train,3,0.7602,0.7255,0.3348,0.3136,0.8525,0.6704,0.3139,0.3314,,,,GOOD FIT
smote,train,4,0.7151,0.7344,0.3778,0.3551,0.8169,0.7343,0.3048,0.2847,,,,GOOD FIT
smote,train,5,0.694,0.7476,0.4199,0.3943,0.7087,0.7448,0.4126,0.412,,,,GOOD FIT
smote,train,6,0.666,0.7559,0.4406,0.4149,0.6926,0.7441,0.3938,0.3623,,,,GOOD FIT
smote,train,7,0.6372,0.7632,0.4767,0.4516,0.6962,0.7487,0.4338,0.4012,,,,GOOD FIT
smote,train,8,0.6073,0.7792,0.5091,0.4885,0.7056,0.7533,0.4158,0.4226,,,,GOOD FIT
smote,train,9,0.5822,0.7861,0.5222,0.5021,0.6687,0.7702,0.4584,0.4241,,,,GOOD FIT
smote,train,10,0.5547,0.7992,0.5676,0.544,0.7631,0.7402,0.4311,0.4616,,,,GOOD FIT
smote,train,11,0.4943,0.8221,0.5965,0.581,0.7359,0.7539,0.4808,0.4461,,,,GOOD FIT
smote,train,12,0.437,0.8428,0.6329,0.6218,0.7838,0.7324,0.4279,0.4436,,,,OVERFITTING
smote,train,13,0.3727,0.8685,0.6803,0.6666,0.8071,0.7448,0.4407,0.4561,,,,OVERFITTING
smote,test,final,,,,,,,,,0.707,0.4928,0.5388,FINAL
contrast_hybrid_smote,train,1,1.1436,0.665,0.2636,0.2604,0.9165,0.6939,0.2348,0.2863,,,,GOOD FIT
contrast_hybrid_smote,train,2,0.8015,0.7019,0.2718,0.2599,0.7811,0.735,0.2985,0.2921,,,,UNDERFITTING
contrast_hybrid_smote,train,3,0.7608,0.7221,0.3103,0.294,0.7704,0.7356,0.2848,0.2723,,,,GOOD FIT
contrast_hybrid_smote,train,4,0.7141,0.7361,0.3692,0.3463,0.7837,0.7311,0.338,0.3301,,,,GOOD FIT
contrast_hybrid_smote,train,5,0.6999,0.7461,0.4125,0.387,0.8577,0.7226,0.3925,0.4336,,,,GOOD FIT
contrast_hybrid_smote,train,6,0.66,0.7562,0.4528,0.4223,0.7939,0.7389,0.3719,0.3688,,,,GOOD FIT
contrast_hybrid_smote,train,7,0.646,0.7648,0.4709,0.4449,0.7748,0.7187,0.4015,0.3824,,,,GOOD FIT
contrast_hybrid_smote,train,8,0.5979,0.7845,0.5362,0.5095,0.6934,0.7572,0.43,0.4067,,,,GOOD FIT
contrast_hybrid_smote,train,9,0.576,0.7889,0.5278,0.5038,0.7801,0.7383,0.3653,0.3595,,,,OVERFITTING
contrast_hybrid_smote,train,10,0.5532,0.8008,0.5631,0.5411,0.7854,0.7389,0.3879,0.3615,,,,OVERFITTING
contrast_hybrid_smote,test,final,,,,,,,,,0.6894,0.4866,0.57,FINAL
